"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 02, 2010","11,140.9","11,022.4","11,158.4","10,945.5","0","1.08%"
"Feb 03, 2010","10,888.4","11,189.6","11,201.6","10,867.8","0","-2.69%"
"Feb 04, 2010","10,241.7","10,882.3","10,920.1","10,220.7","0","-5.89%"
"Feb 05, 2010","10,103.3","10,123.3","10,277.5","9,916.6","0","-0.2%"
"Feb 08, 2010","10,206.3","10,132.1","10,259.2","9,970.9","0","0.73%"
"Feb 09, 2010","10,275.4","10,160.8","10,339.2","10,084.9","0","1.13%"
"Feb 10, 2010","10,455","10,383.1","10,543.1","10,358.9","0","0.69%"
"Feb 11, 2010","10,281.7","10,554.5","10,557.4","10,162.7","0","-2.58%"
"Feb 12, 2010","10,224.9","10,393.9","10,409.8","10,149.2","0","-1.63%"
"Feb 15, 2010","10,293.6","10,298.5","10,386.8","10,240.3","0","-0.05%"
"Feb 16, 2010","10,393.9","10,397.9","10,430.5","10,230.4","0","-0.04%"
"Feb 17, 2010","10,498.6","10,470.9","10,551.5","10,426.5","0","0.26%"
"Feb 18, 2010","10,574.2","10,466.7","10,574.2","10,417.9","0","1.03%"
"Feb 19, 2010","10,676.7","10,472.4","10,676.7","10,404","0","1.95%"
"Feb 22, 2010","10,570.5","10,752.5","10,773.6","10,541.1","0","-1.69%"
"Feb 23, 2010","10,312.9","10,597.6","10,638.6","10,267.5","0","-2.69%"
"Feb 24, 2010","10,254","10,304.7","10,333.8","10,089.4","0","-0.49%"
"Feb 25, 2010","10,126.2","10,195.6","10,312.4","10,047.2","0","-0.68%"
"Feb 26, 2010","10,333.6","10,243.4","10,345.2","10,118.4","0","0.88%"
"Mar 01, 2010","10,434.9","10,434.7","10,504.9","10,287.6","0","0%"
"Mar 02, 2010","10,521.5","10,441.8","10,532.9","10,339.3","0","0.76%"
"Mar 03, 2010","10,664.5","10,485.1","10,679.5","10,411.8","0","1.71%"
"Mar 04, 2010","10,745.3","10,595.6","10,814.6","10,577.1","0","1.41%"
"Mar 05, 2010","11,019.8","10,780.1","11,032.8","10,718.6","0","2.22%"
"Mar 08, 2010","11,078.3","11,103.1","11,123.8","11,031.7","0","-0.22%"
"Mar 09, 2010","11,002.8","11,101.1","11,108.6","10,911.1","0","-0.89%"
"Mar 10, 2010","11,121","11,018.3","11,121","10,976.8","0","0.93%"
"Mar 11, 2010","11,045.4","11,076.2","11,128","10,988.3","0","-0.28%"
"Mar 12, 2010","11,077","11,078.9","11,181.3","11,049.4","0","-0.02%"
"Mar 15, 2010","10,957.8","11,069.9","11,078.3","10,932.2","0","-1.01%"
"Mar 16, 2010","11,059.3","11,028.6","11,061.8","10,921.1","0","0.28%"
"Mar 17, 2010","11,166.8","11,128","11,190","11,090.4","0","0.35%"
"Mar 18, 2010","11,073.5","11,119.6","11,156.4","11,021.3","0","-0.41%"
"Mar 19, 2010","10,990.8","11,132.4","11,141.4","10,929.6","0","-1.27%"
"Mar 22, 2010","10,861.9","10,959.6","10,960.4","10,694.2","0","-0.89%"
"Mar 23, 2010","10,996.2","10,884.5","11,013.9","10,864.8","0","1.03%"
"Mar 24, 2010","10,866.3","11,027","11,041.1","10,747.5","0","-1.46%"
"Mar 25, 2010","11,091.4","10,908.5","11,092.8","10,825.9","0","1.68%"
"Mar 26, 2010","11,071.1","11,054.1","11,124","11,004","0","0.15%"
"Mar 29, 2010","11,091","11,108.2","11,166.4","11,013","0","-0.15%"
"Mar 30, 2010","10,980.7","11,133.6","11,157","10,968","0","-1.37%"
"Mar 31, 2010","10,871.3","10,942.8","11,014.8","10,774","0","-0.65%"
"Apr 01, 2010","11,067.9","10,950.4","11,067.9","10,893","0","1.07%"
"Apr 06, 2010","11,160.6","11,143.2","11,185.1","10,968.2","0","0.16%"
"Apr 07, 2010","11,191.3","11,152.3","11,235.7","11,083.2","0","0.35%"
"Apr 08, 2010","11,076.3","11,134","11,153","10,977","0","-0.52%"
"Apr 09, 2010","11,394.2","11,161.1","11,408.5","11,139.5","0","2.09%"
"Apr 12, 2010","11,460.8","11,468","11,554.8","11,416.1","0","-0.06%"
"Apr 13, 2010","11,461","11,415.8","11,535.7","11,403.5","0","0.4%"
"Apr 14, 2010","11,503.7","11,519.6","11,566.1","11,460.2","0","-0.14%"
"Apr 15, 2010","11,523.5","11,533.1","11,543.9","11,372","0","-0.08%"
"Apr 16, 2010","11,259.7","11,441.7","11,546.9","11,210.5","0","-1.59%"
"Apr 19, 2010","11,199.5","11,155.5","11,264.1","11,118.2","0","0.39%"
"Apr 20, 2010","11,305.6","11,256.3","11,334.7","11,140.1","0","0.44%"
"Apr 21, 2010","11,064.7","11,328.5","11,337.3","11,041.8","0","-2.33%"
"Apr 22, 2010","10,821.9","11,045.1","11,079.2","10,753.4","0","-2.02%"
"Apr 23, 2010","10,918.2","10,833.2","11,027.3","10,759.7","0","0.78%"
"Apr 26, 2010","10,939.3","11,042.7","11,092.6","10,837.8","0","-0.94%"
