"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 08, 2017","88.4178","87.8587","88.5997","87.7770","-","0.63%"
"Feb 07, 2017","87.8624","87.9098","87.9909","87.5283","-","0.04%"
"Feb 06, 2017","87.8300","88.2313","88.3603","87.8175","-","-0.13%"
"Feb 03, 2017","87.9428","88.1427","88.3356","87.7349","-","-0.52%"
"Feb 02, 2017","88.3999","88.5577","88.9057","88.3302","-","-0.16%"
"Feb 01, 2017","88.5422","87.5611","88.5528","87.4996","-","1.08%"
"Jan 31, 2017","87.5922","87.0339","87.8603","86.9950","-","0.65%"
"Jan 30, 2017","87.0293","87.8392","87.8660","87.0187","-","-1.08%"
"Jan 27, 2017","87.9770","88.0199","88.0593","87.6169","-","-0.33%"
"Jan 26, 2017","88.2692","88.6127","88.8292","88.1764","-","-0.11%"
"Jan 25, 2017","88.3675","88.4879","88.6975","88.0721","-","-0.43%"
"Jan 24, 2017","88.7502","88.8237","89.2642","88.7253","-","0.17%"
"Jan 23, 2017","88.5958","88.6884","88.7033","88.2227","-","0.25%"
"Jan 20, 2017","88.3760","88.0728","88.7340","87.8827","-","0.25%"
"Jan 19, 2017","88.1579","88.3001","88.5196","88.0443","-","-0.26%"
"Jan 18, 2017","88.3839","88.9720","89.0614","88.2487","-","-0.63%"
"Jan 17, 2017","88.9487","88.7808","89.4727","88.5369","-","0.46%"
"Jan 13, 2017","88.5432","88.4281","88.7107","87.9930","-","0.06%"
"Jan 12, 2017","88.4857","87.3528","88.5105","87.2964","-","1.46%"
"Jan 11, 2017","87.2102","86.8357","87.4553","86.5452","-","0.41%"
"Jan 10, 2017","86.8542","86.3557","87.2123","86.3476","-","0.59%"
"Jan 09, 2017","86.3434","87.3602","87.3914","86.3214","-","-1.17%"
"Jan 06, 2017","87.3673","87.5419","87.6265","87.0020","-","-0.19%"
"Jan 05, 2017","87.5294","87.0724","87.8524","87.0252","-","0.41%"
"Jan 04, 2017","87.1718","86.2162","87.2055","86.1603","-","1.28%"
"Jan 03, 2017","86.0673","87.3407","87.8349","86.0015","-","-1.65%"
"Dec 30, 2016","87.5144","87.7348","88.0009","87.3524","-","-0.17%"
"Dec 29, 2016","87.6672","87.7962","88.0116","87.5470","-","-0.10%"
"Dec 28, 2016","87.7524","87.4846","87.8531","87.1516","-","0.18%"
"Dec 27, 2016","87.5987","86.6013","87.7146","86.5900","-","1.52%"
"Dec 23, 2016","86.2910","86.1721","86.5263","85.9988","-","-0.05%"
"Dec 22, 2016","86.3305","86.4466","86.7294","85.8434","-","-0.08%"
"Dec 21, 2016","86.4032","86.3964","86.8548","86.2337","-","0.29%"
"Dec 20, 2016","86.1569","86.4445","86.5188","85.9982","-","-0.48%"
"Dec 19, 2016","86.5687","87.2101","87.3281","86.3520","-","-0.65%"
"Dec 16, 2016","87.1333","87.1333","87.1333","87.1333","-","0.34%"
"Dec 15, 2016","86.8356","87.4450","87.5999","86.4639","-","-0.90%"
"Dec 14, 2016","87.6267","87.6819","88.1238","87.3887","-","-0.34%"
"Dec 13, 2016","87.9224","88.1602","88.6207","87.6089","-","-0.29%"
"Dec 12, 2016","88.1761","88.8003","88.8570","88.1084","-","0.04%"
"Dec 09, 2016","88.1431","87.6938","88.1653","87.5880","-","0.66%"
"Dec 08, 2016","87.5661","87.4124","87.8312","86.9276","-","0.11%"
"Dec 07, 2016","87.4726","87.9752","88.3201","87.4562","-","-0.63%"
"Dec 06, 2016","88.0266","88.0115","88.3756","87.7402","-","-0.36%"
"Dec 05, 2016","88.3476","87.1906","89.0919","87.1466","-","1.50%"
"Dec 02, 2016","87.0416","86.8768","87.1843","86.2970","-","0.14%"
"Dec 01, 2016","86.9186","86.0589","87.2118","85.9624","-","1.07%"
"Nov 30, 2016","86.0015","84.4467","86.3081","84.1639","-","2.05%"
"Nov 29, 2016","84.2773","85.9426","85.9435","84.1921","-","-2.08%"
"Nov 28, 2016","86.0660","85.7094","86.4600","85.4820","-","1.22%"
"Nov 25, 2016","85.0319","85.3685","85.5021","84.9622","-","-0.38%"
"Nov 23, 2016","85.3577","85.0347","85.5082","84.2837","-","0.26%"
"Nov 22, 2016","85.1386","85.4653","85.7358","84.7868","-","0.30%"
"Nov 21, 2016","84.8851","83.7611","84.9285","83.7611","-","2.24%"
"Nov 18, 2016","83.0220","82.2117","83.1569","82.1232","-","0.36%"
"Nov 17, 2016","82.7271","82.7548","83.2776","82.6135","-","-0.05%"
"Nov 16, 2016","82.7663","83.2379","83.5159","82.5795","-","-0.62%"
"Nov 15, 2016","83.2790","82.8671","83.3288","82.3461","-","1.14%"
"Nov 14, 2016","82.3429","82.8082","82.8313","81.7879","-","-0.04%"
"Nov 11, 2016","82.3754","83.8286","84.4211","82.1604","-","-1.75%"
"Nov 10, 2016","83.8400","84.3985","85.0822","83.6111","-","-0.08%"
"Nov 09, 2016","83.9087","83.3320","84.4755","82.9138","-","0.15%"
"Nov 08, 2016","83.7814","83.8644","84.1399","83.3743","-","-0.05%"
"Nov 07, 2016","83.8224","83.6961","83.9986","83.3574","-","0.63%"
"Nov 04, 2016","83.2943","83.5664","83.6437","82.9460","-","-0.37%"
"Nov 03, 2016","83.6054","83.9409","83.9983","83.4797","-","-0.34%"
"Nov 02, 2016","83.8889","84.1486","84.1973","83.5722","-","-0.74%"
"Nov 01, 2016","84.5133","85.1458","85.4391","84.3519","-","-0.46%"
"Oct 31, 2016","84.9011","85.8732","86.0078","84.8734","-","-1.18%"
"Oct 28, 2016","85.9119","86.3160","86.5118","85.7479","-","-0.35%"
"Oct 27, 2016","86.2162","85.6440","86.3045","85.5440","-","0.79%"
"Oct 26, 2016","85.5405","85.7815","85.9193","85.2747","-","-0.55%"
"Oct 25, 2016","86.0107","86.2628","86.7150","85.8041","-","-0.16%"
"Oct 24, 2016","86.1501","86.0994","86.5096","85.7125","-","0.05%"
"Oct 21, 2016","86.1053","85.9238","86.2311","85.7167","-","0.10%"
"Oct 20, 2016","86.0215","86.9791","87.0134","85.7710","-","-1.00%"
"Oct 19, 2016","86.8947","86.7870","87.0755","86.4594","-","0.39%"
"Oct 18, 2016","86.5539","86.6731","86.9100","86.4205","-","0.19%"
"Oct 17, 2016","86.3877","86.2569","86.6175","85.8190","-","0.05%"
"Oct 14, 2016","86.3405","86.4428","86.7298","86.1604","-","0.07%"
"Oct 13, 2016","86.2813","85.5741","86.3012","85.3275","-","0.74%"
"Oct 12, 2016","85.6490","86.2895","86.3797","85.6163","-","-0.61%"
"Oct 11, 2016","86.1764","86.6665","86.8131","85.9375","-","-0.67%"
"Oct 10, 2016","86.7571","85.4909","86.9271","85.4909","-","1.30%"
"Oct 07, 2016","85.6414","85.5926","86.1013","85.3354","-","0.15%"
"Oct 06, 2016","85.5129","85.5080","85.6953","85.1607","-","-0.24%"
"Oct 05, 2016","85.7159","85.4507","85.7936","85.1681","-","0.66%"
"Oct 04, 2016","85.1508","85.3998","85.5083","85.0124","-","-0.53%"
"Oct 03, 2016","85.6046","85.2808","85.7126","84.6232","-","0.31%"
"Sep 30, 2016","85.3420","85.0384","85.6396","84.7908","-","0.14%"
"Sep 29, 2016","85.2238","85.4898","85.5848","84.9457","-","0.10%"
"Sep 28, 2016","85.1424","84.1098","85.2597","83.7237","-","1.19%"
"Sep 27, 2016","84.1435","84.6516","84.8741","83.7076","-","-0.85%"
"Sep 26, 2016","84.8615","84.4621","85.1314","84.0706","-","0.64%"
"Sep 23, 2016","84.3221","85.0729","85.4484","84.1704","-","-1.39%"
"Sep 22, 2016","85.5084","85.4479","86.0463","85.2568","-","0.71%"
"Sep 21, 2016","84.9081","84.4945","84.9663","84.4169","-","0.74%"
"Sep 20, 2016","84.2876","83.5964","84.3596","83.4849","-","0.81%"
"Sep 19, 2016","83.6063","83.7395","84.0824","83.4907","-","0.45%"
"Sep 16, 2016","83.2357","82.9831","83.2976","82.4097","-","0.18%"
"Sep 15, 2016","83.0829","82.8024","83.2518","82.4872","-","0.50%"
"Sep 14, 2016","82.6722","83.0792","83.4086","82.5896","-","-0.42%"
"Sep 13, 2016","83.0196","84.1658","84.1970","82.9920","-","-1.27%"
"Sep 12, 2016","84.0834","83.4562","84.4240","83.2763","-","0.07%"
"Sep 09, 2016","84.0242","84.8938","84.9392","83.9943","-","-1.32%"
"Sep 08, 2016","85.1478","84.3238","85.1988","84.0205","-","1.45%"
"Sep 07, 2016","83.9304","83.4380","84.0159","83.4279","-","0.65%"
"Sep 06, 2016","83.3865","83.3140","83.4294","82.6284","-","0.48%"
"Sep 02, 2016","82.9889","82.4715","83.2690","82.2545","-","1.08%"
"Sep 01, 2016","82.1007","82.9092","83.0804","82.0268","-","-0.81%"
"Aug 31, 2016","82.7727","83.6626","83.7277","82.6401","-","-1.05%"
"Aug 30, 2016","83.6551","84.5057","84.6981","83.5083","-","-0.95%"
"Aug 29, 2016","84.4593","84.7034","84.7294","84.3193","-","-0.62%"
"Aug 26, 2016","84.9846","85.1828","85.9416","84.6000","-","-0.08%"
"Aug 25, 2016","85.0535","84.9196","85.2433","84.7476","-","-0.02%"
"Aug 24, 2016","85.0698","85.8113","85.8271","84.9076","-","-1.17%"
"Aug 23, 2016","86.0734","85.4013","86.1451","85.2901","-","0.47%"
"Aug 22, 2016","85.6704","85.9270","85.9613","85.4074","-","-0.66%"
"Aug 19, 2016","86.2364","86.5108","86.6623","85.8698","-","-0.58%"
"Aug 18, 2016","86.7407","86.0557","86.8283","85.9048","-","1.01%"
"Aug 17, 2016","85.8719","85.5499","85.9456","85.2315","-","0.17%"
"Aug 16, 2016","85.7227","85.0640","85.8141","85.0075","-","0.57%"
"Aug 15, 2016","85.2385","84.3788","85.2558","84.2415","-","1.41%"
"Aug 12, 2016","84.0555","83.8958","84.3862","83.5628","-","0.10%"
"Aug 11, 2016","83.9743","83.1849","84.2605","82.9079","-","0.90%"
"Aug 10, 2016","83.2293","83.8446","84.4576","83.1896","-","-0.62%"
"Aug 09, 2016","83.7521","84.0188","84.3751","83.7214","-","-0.67%"
"Aug 08, 2016","84.3172","83.8852","84.4899","83.8397","-","0.55%"
"Aug 05, 2016","83.8543","83.9001","84.1284","83.3279","-","-0.06%"
"Aug 04, 2016","83.9078","83.6230","84.0692","83.0670","-","0.43%"
"Aug 03, 2016","83.5472","82.8506","83.7543","82.5517","-","0.99%"
"Aug 02, 2016","82.7299","82.8594","83.7859","82.4494","-","-0.20%"
"Aug 01, 2016","82.8974","84.1692","84.3512","82.8033","-","-1.64%"
"Jul 29, 2016","84.2809","83.4692","84.3462","82.8144","-","1.06%"
"Jul 28, 2016","83.3984","83.6062","83.7591","83.3165","-","0.33%"
"Jul 27, 2016","83.1270","83.7057","84.2238","83.0231","-","-0.71%"
"Jul 26, 2016","83.7215","83.8644","83.9887","83.3050","-","-0.24%"
"Jul 25, 2016","83.9236","84.5809","84.7513","83.7169","-","-0.84%"
"Jul 22, 2016","84.6352","84.9649","84.9731","84.0449","-","-0.37%"
"Jul 21, 2016","84.9520","85.1691","85.5429","84.8246","-","-0.24%"
"Jul 20, 2016","85.1563","85.6913","85.8595","84.7825","-","-0.69%"
"Jul 19, 2016","85.7484","86.4526","86.7641","85.7163","-","-0.90%"
"Jul 18, 2016","86.5266","86.7721","86.9018","85.7700","-","-0.20%"
"Jul 15, 2016","86.6984","86.8402","86.8402","86.6984","-","-0.48%"
"Jul 14, 2016","87.1196","87.2192","87.9443","86.9803","-","0.16%"
"Jul 13, 2016","86.9767","87.2419","88.1866","86.8723","-","-0.59%"
"Jul 12, 2016","87.4889","86.3110","87.5472","86.1356","-","1.63%"
"Jul 11, 2016","86.0815","86.6364","87.2017","86.0238","-","-0.37%"
"Jul 08, 2016","86.4023","85.6053","86.4908","85.4838","-","1.02%"
"Jul 07, 2016","85.5334","87.8068","88.1217","85.3940","-","-2.28%"
"Jul 06, 2016","87.5272","87.4490","87.8200","86.3239","-","0.11%"
"Jul 05, 2016","87.4282","89.0808","89.2302","86.9097","-","-2.51%"
"Jul 01, 2016","89.6788","89.1615","89.7142","88.8270","-","0.94%"
"Jun 30, 2016","88.8423","89.2184","89.4214","88.4964","-","-0.51%"
"Jun 29, 2016","89.2984","88.4369","89.3445","88.2241","-","1.13%"
"Jun 28, 2016","88.3016","86.9283","88.4287","86.9283","-","1.90%"
"Jun 27, 2016","86.6558","87.1365","87.6728","86.4314","-","-0.34%"
"Jun 24, 2016","86.9557","87.9599","88.0170","86.4474","-","-1.57%"
"Jun 23, 2016","88.3454","88.0649","88.4784","87.6715","-","0.37%"
"Jun 22, 2016","88.0189","88.5835","88.9776","87.7769","-","-0.64%"
"Jun 21, 2016","88.5833","89.3069","89.3319","88.1206","-","-0.97%"
"Jun 20, 2016","89.4538","88.7628","89.5345","88.6601","-","0.83%"
"Jun 17, 2016","88.7212","87.4043","88.7567","87.4043","-","1.70%"
"Jun 16, 2016","87.2339","88.2799","88.3114","87.2173","-","-1.40%"
"Jun 15, 2016","88.4692","88.3558","88.9649","88.3191","-","-0.34%"
"Jun 14, 2016","88.7731","88.6441","88.8343","88.1373","-","-0.35%"
"Jun 13, 2016","89.0837","89.0670","89.5810","88.9309","-","0.16%"
"Jun 10, 2016","88.9427","89.7571","89.7640","88.8491","-","-1.04%"
"Jun 09, 2016","89.8772","90.1586","90.3087","89.2189","-","-0.07%"
"Jun 08, 2016","89.9368","88.5040","90.0080","88.4226","-","1.87%"
