Symbol|Security|GICS Sector|GICS Sub-Industry|Founded|from1|to1|from2|to2|from3|to3
MAR|Marriott International|Consumer Discretionary|Hotels, Resorts & Cruise Lines|1927||||||
MAS|Masco Corp.|Industrials|Building Products|1929|1981-06-30|||||
MAT|Mattel Inc|||||2019-06-07||||
MCD|McDonald's Corp.|Consumer Discretionary|Restaurants|1940|1970-06-30|||||
MCHP|Microchip Technology|Information Technology|Semiconductors|1989|2007-09-07|||||
MCK|McKesson Corp.|Health Care|Health Care Distributors|1833||||||
MCO|Moody's Corp|Financials|Financial Exchanges & Data|1909||||||
MDLZ|Mondelez International|Consumer Staples|Packaged Foods & Meats|2012|2012-10-02|||||
MDT|Medtronic plc|Health Care|Health Care Equipment|1949|1986-10-31|||||
MEE|Massey Energy Company|||||2011-06-01||||
MET|MetLife Inc.|Financials|Life & Health Insurance|1868||||||
MFE|McAfee Inc.|||||2011-02-28||||
MGM|MGM Resorts International|Consumer Discretionary|Casinos & Gaming|1986|2017-07-26|||||
MHK|Mohawk Industries|Consumer Discretionary|Home Furnishings|1878|2013-12-23|||||
MHS|Medco Health Solutions Inc.|||||2012-04-03||||
MI|Marshall & Iisley Corp.|||||2011-07-05||||
MIL|Millipore Inc.|||||2010-07-14||||
MJN|Mead Johnson||||2009-12-18|2017-06-19||||
MKC|McCormick & Co.|Consumer Staples|Packaged Foods & Meats|1889||||||
MKTX|MarketAxess|Financials|Financial Exchanges & Data|2000|2019-07-01|||||
MLM|Martin Marietta Materials|Materials|Construction Materials|1993|2014-07-02|||||
MMC|Marsh & McLennan|Financials|Insurance Brokers|1905|1987-08-31|||||
MMI|Motorola Mobility|||||2012-05-21||||
MMM|3M Company|Industrials|Industrial Conglomerates|1902|1976-08-09|||||
MNK|Mallinckrodt||||2014-08-18|2017-07-26||||
MNST|Monster Beverage|Consumer Staples|Soft Drinks|2012|2012-06-28|||||
MO|Altria Group Inc|Consumer Staples|Tobacco|1985|1957-03-04|||||
MOLX|Molex Inc.|||||2013-12-10||||
MON|Monsanto|||||2018-06-07||||
MOS|The Mosaic Company|Materials|Fertilizers & Agricultural Chemicals|2004|2011-09-26|||||
MPC|Marathon Petroleum|Energy|Oil & Gas Refining & Marketing|2009|2011-07-01|||||
MPWR|Monolithic Power Systems|Information Technology|Semiconductors|1997|2021-02-12|||||
MRK|Merck & Co.|Health Care|Pharmaceuticals|1891|1957-03-04|||||
MRO|Marathon Oil Corp.|Energy|Oil & Gas Exploration & Production|1887|1991-05-01|||||
MS|Morgan Stanley|Financials|Investment Banking & Brokerage|1935||||||
MSCI|MSCI Inc|Financials|Financial Exchanges & Data|1969|2018-04-04|||||
MSFT|Microsoft Corp.|Information Technology|Systems Software|1975|1994-06-01|||||
MSI|Motorola Solutions Inc.|Information Technology|Communications Equipment|1928||||||
MTB|M&T Bank|Financials|Regional Banks|1856|2004-02-23|||||
MTD|Mettler Toledo|Health Care|Life Sciences Tools & Services|1945|2016-09-06|||||
MU|Micron Technology|Information Technology|Semiconductors|1978|1994-09-27|||||
MUR|Murphy Oil|||||2017-07-26||||
MWW|Monster Worldwide Inc.|||||2011-12-16||||
MXIM|Maxim Integrated Products|Information Technology|Semiconductors|1983||2007-09-27|2018-12-03|||
NAVI|Navient Corp||||2014-05-01|2018-06-05||||
NBL|Noble Energy|||||2020-10-12||||
NBR|Nabors Industries|||||2015-03-23||||
NCLH|Norwegian Cruise Line Holdings|Consumer Discretionary|Hotels, Resorts & Cruise Lines|2011|2017-10-13|||||
NCR|NCR Corp.|||||2007-10-01||||
NDAQ|Nasdaq, Inc.|Financials|Financial Exchanges & Data|1971|2008-10-22|||||
NE|Noble Corporation|||||2015-07-20||||
NEE|NextEra Energy|Utilities|Multi-Utilities|1984|1976-06-30|||||
NEM|Newmont Corporation|Materials|Gold|1921|1969-06-30|||||
